sex     genotype        numReads        RSC
NA18489_H3K27AC female  S       49995164        1.502876
NA18489_H3K4ME1 female  S       49990864        1.189372
NA18489_H3K4ME3 female  S       50006774        2.193292
NA18498_H3K27AC male    S       49999106        1.527768
NA18498_H3K4ME1 male    S       49999984        1.19815
NA18498_H3K4ME3 male    S       50006870        2.358605
NA18499_H3K27AC female  S       49989644        1.472221
NA18499_H3K4ME1 female  S       49986781        1.262722
NA18499_H3K4ME3 female  S       49998793        2.290604
NA18501_H3K27AC male    S       49979028        1.509463
NA18501_H3K4ME1 male    S       50017805        1.218764
NA18501_H3K4ME3 male    S       49991620        2.219124
NA18502_H3K27AC female  S       49996606        1.498271
NA18502_H3K4ME1 female  S       50008566        1.272002
NA18502_H3K4ME3 female  S       49995228        2.265476
NA18504_H3K27AC male    S       49761408        1.461436
NA18504_H3K4ME1 male    S       44989192        1.241868
NA18504_H3K4ME3 male    S       50004416        2.181059
NA18505_H3K27AC female  S       45142011        1.426958
NA18505_H3K4ME1 female  S       48756293        1.187261
NA18505_H3K4ME3 female  S       50000006        2.262659
NA18507_H3K27AC male    S       49998900        1.477871
NA18507_H3K4ME1 male    S       47179361        1.23542
NA18507_H3K4ME3 male    S       49999972        2.367668
NA18508_H3K27AC female  S       46031265        1.568971
NA18508_H3K4ME1 female  S       43267227        1.294865
NA18508_H3K4ME3 female  S       49996808        2.375934
NA18510_H3K27AC male    S       49996794        1.506732
NA18510_H3K4ME1 male    S       41397104        1.291338
NA18510_H3K4ME3 male    S       49998818        2.202552
NA18511_H3K27AC female  S       48403460        1.473305
NA18511_H3K4ME1 female  S       48777475        1.190339
NA18511_H3K4ME3 female  S       48930299        2.204139
NA18516_H3K27AC male    S       49999687        1.508734
NA18516_H3K4ME1 male    S       49853013        1.233209
NA18516_H3K4ME3 male    S       49999515        2.061483
NA18517_H3K27AC female  S       47936372        1.549746
NA18517_H3K4ME1 female  S       42278044        1.272836
NA18517_H3K4ME3 female  S       46040927        2.471538
NA18519_H3K27AC male    S       35217612        1.514452
NA18519_H3K4ME1 male    S       49997077        1.243124
NA18519_H3K4ME3 male    S       49996460        2.304894
NA18520_H3K27AC female  S       50003055        1.479729
NA18520_H3K4ME1 female  S       49207993        1.19204
NA18520_H3K4ME3 female  S       50000183        2.277049
NA18522_H3K27AC male    S       49994697        1.495648
NA18522_H3K4ME1 male    S       49385706        1.206518
NA18522_H3K4ME3 male    S       50003498        2.275006
NA18523_H3K27AC female  S       49999349        1.504217
NA18523_H3K4ME1 female  S       34088611        1.188834
NA18523_H3K4ME3 female  S       49907179        2.132277
NA18852_H3K27AC female  I       49999782        1.488859
NA18852_H3K4ME1 female  I       42703718        1.247627
NA18852_H3K4ME3 female  I       50000005        2.422134
