50	225	E	-1910564.4339701552	200
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0
probinit	13	0.0
probinit	14	0.0
probinit	15	0.0
probinit	16	0.0
probinit	17	0.0
probinit	18	0.0
probinit	19	0.0
probinit	20	0.0
probinit	21	0.0
probinit	22	0.0
probinit	23	0.0
probinit	24	0.0
probinit	25	0.0
probinit	26	0.0
probinit	27	0.0
probinit	28	0.0
probinit	29	0.0
probinit	30	0.0
probinit	31	0.0
probinit	32	0.0
probinit	33	0.0
probinit	34	0.0
probinit	35	0.0
probinit	36	0.0
probinit	37	0.0
probinit	38	0.0
probinit	39	0.0
probinit	40	0.0
probinit	41	0.0
probinit	42	0.0
probinit	43	0.0
probinit	44	0.0
probinit	45	0.0
probinit	46	0.0
probinit	47	0.0
probinit	48	0.0
probinit	49	0.0
probinit	50	1.0
transitionprobs	1	1	0.16112035690373636
transitionprobs	1	2	0.06871889946952935
transitionprobs	1	3	0.04763487028263961
transitionprobs	1	4	0.04412919823461111
transitionprobs	1	5	0.03316800118768315
transitionprobs	1	6	0.035595044040388296
transitionprobs	1	7	0.019376616750817453
transitionprobs	1	8	0.0
transitionprobs	1	9	0.005335436872715627
transitionprobs	1	10	0.020216817262731397
transitionprobs	1	11	0.0
transitionprobs	1	12	0.06899043174768073
transitionprobs	1	13	0.007196602644705619
transitionprobs	1	14	0.059708204165234105
transitionprobs	1	15	0.015064924532210386
transitionprobs	1	16	0.0
transitionprobs	1	17	0.0
transitionprobs	1	18	0.0
transitionprobs	1	19	0.0
transitionprobs	1	20	0.07381244190257982
transitionprobs	1	21	0.07408927556871557
transitionprobs	1	22	0.012257855829150578
transitionprobs	1	23	0.0
transitionprobs	1	24	0.0
transitionprobs	1	25	0.0
transitionprobs	1	26	1.4482479047746024E-5
transitionprobs	1	27	0.035296407748641664
transitionprobs	1	28	0.016457342196567307
transitionprobs	1	29	0.009019645059403272
transitionprobs	1	30	0.015408827043691052
transitionprobs	1	31	0.0462618956339108
transitionprobs	1	32	0.03250284086729905
transitionprobs	1	33	0.00498780292194288
transitionprobs	1	34	0.0
transitionprobs	1	35	0.0011044431052354344
transitionprobs	1	36	0.024335590090063933
transitionprobs	1	37	0.03785134151522913
transitionprobs	1	38	0.0
transitionprobs	1	39	0.0
transitionprobs	1	40	0.023202197360965793
transitionprobs	1	41	0.0
transitionprobs	1	42	0.0
transitionprobs	1	43	0.0
transitionprobs	1	44	0.0
transitionprobs	1	45	0.0
transitionprobs	1	46	0.0
transitionprobs	1	47	0.0
transitionprobs	1	48	0.007142206582872822
transitionprobs	1	49	0.0
transitionprobs	1	50	0.0
transitionprobs	2	1	0.06295431442767074
transitionprobs	2	2	0.2704833084042759
transitionprobs	2	3	0.12045389391204489
transitionprobs	2	4	0.07465754604225083
transitionprobs	2	5	0.020762230655631382
transitionprobs	2	6	0.015877777078222317
transitionprobs	2	7	4.4944432559761654E-4
transitionprobs	2	8	0.0022422703581660907
transitionprobs	2	9	0.0017007430438267716
transitionprobs	2	10	0.007616153761314189
transitionprobs	2	11	0.0
transitionprobs	2	12	0.011839039802128687
transitionprobs	2	13	0.037264233176812815
transitionprobs	2	14	0.1413996253775304
transitionprobs	2	15	0.04385566375242351
transitionprobs	2	16	0.008071897775064797
transitionprobs	2	17	0.008456983730801724
transitionprobs	2	18	0.002263986136785224
transitionprobs	2	19	0.007871763484922778
transitionprobs	2	20	0.013049361841634174
transitionprobs	2	21	0.017086153251936284
transitionprobs	2	22	0.02317299360955511
transitionprobs	2	23	0.015974765885020593
transitionprobs	2	24	0.006589548854770231
transitionprobs	2	25	0.0
transitionprobs	2	26	0.0
transitionprobs	2	27	0.0055574317907281364
transitionprobs	2	28	0.005072789814023426
transitionprobs	2	29	0.0
transitionprobs	2	30	0.014789995376688712
transitionprobs	2	31	0.021826610351519404
transitionprobs	2	32	0.0011082595154259486
transitionprobs	2	33	0.0045122203956725155
transitionprobs	2	34	0.0
transitionprobs	2	35	0.0
transitionprobs	2	36	0.005264853274531996
transitionprobs	2	37	0.0069201435516125535
transitionprobs	2	38	0.004167280422715869
transitionprobs	2	39	0.0
transitionprobs	2	40	0.0034024680845787234
transitionprobs	2	41	0.0
transitionprobs	2	42	0.0
transitionprobs	2	43	0.0
transitionprobs	2	44	0.005012875119919823
transitionprobs	2	45	0.0010152533091805798
transitionprobs	2	46	0.0
transitionprobs	2	47	0.006058671810534253
transitionprobs	2	48	0.0011974484944808942
transitionprobs	2	49	0.0
transitionprobs	2	50	0.0
transitionprobs	3	1	0.020538624593522375
transitionprobs	3	2	0.1170948732640808
transitionprobs	3	3	0.22660323546491284
transitionprobs	3	4	0.15386719754554856
transitionprobs	3	5	0.05815141500422302
transitionprobs	3	6	0.029456466350962156
transitionprobs	3	7	0.0071138814313572735
transitionprobs	3	8	0.0
transitionprobs	3	9	0.020654203756346648
transitionprobs	3	10	0.03490223338823519
transitionprobs	3	11	3.197408063948029E-5
transitionprobs	3	12	0.010717569105798625
transitionprobs	3	13	0.008582119629468586
transitionprobs	3	14	0.045070587766617376
transitionprobs	3	15	0.008615810083688556
transitionprobs	3	16	0.0017385223772962597
transitionprobs	3	17	9.866964438586846E-4
transitionprobs	3	18	0.0
transitionprobs	3	19	0.0
transitionprobs	3	20	0.0026021419144700835
transitionprobs	3	21	0.00453853973494207
transitionprobs	3	22	0.005838277053571852
transitionprobs	3	23	0.01412443747619329
transitionprobs	3	24	0.009641653668705985
transitionprobs	3	25	0.0
transitionprobs	3	26	0.041237124739405266
transitionprobs	3	27	0.052634934303045694
transitionprobs	3	28	0.0
transitionprobs	3	29	0.0
transitionprobs	3	30	0.034480240822585856
transitionprobs	3	31	0.032835206678218196
transitionprobs	3	32	0.016242558178467016
transitionprobs	3	33	0.004945160635376902
transitionprobs	3	34	0.0
transitionprobs	3	35	0.008059240723420224
transitionprobs	3	36	0.0021149118349434197
transitionprobs	3	37	0.0014699116086147705
transitionprobs	3	38	0.0
transitionprobs	3	39	0.0
transitionprobs	3	40	0.0
transitionprobs	3	41	0.0
transitionprobs	3	42	0.0
transitionprobs	3	43	8.99385164342818E-4
transitionprobs	3	44	8.994678427214981E-4
transitionprobs	3	45	0.0
transitionprobs	3	46	0.0017968098775997673
transitionprobs	3	47	0.0034712190231291433
transitionprobs	3	48	0.003715478654661411
transitionprobs	3	49	0.01257961454676777
transitionprobs	3	50	0.0017482752322608257
transitionprobs	4	1	0.018747941286221682
transitionprobs	4	2	0.043530826860998496
transitionprobs	4	3	0.10054487058237346
transitionprobs	4	4	0.14797519652678545
transitionprobs	4	5	0.08334973136098842
transitionprobs	4	6	0.061934770954302935
transitionprobs	4	7	0.032214763254028764
transitionprobs	4	8	6.061113698626689E-5
transitionprobs	4	9	0.03582515277960395
transitionprobs	4	10	0.026289047132043216
transitionprobs	4	11	0.006872299658132962
transitionprobs	4	12	0.012626509723312786
transitionprobs	4	13	0.003454390439143177
transitionprobs	4	14	0.00609779811413784
transitionprobs	4	15	0.004602981740416633
transitionprobs	4	16	0.0
transitionprobs	4	17	0.001979436861780533
transitionprobs	4	18	0.0013801617972118482
transitionprobs	4	19	0.0
transitionprobs	4	20	0.0032072739698633516
transitionprobs	4	21	0.011099857558936579
transitionprobs	4	22	0.012201239352352549
transitionprobs	4	23	0.02276873057045136
transitionprobs	4	24	0.03149030650829688
transitionprobs	4	25	0.018522625439358693
transitionprobs	4	26	0.034644040223269834
transitionprobs	4	27	0.1066596865400027
transitionprobs	4	28	0.006521460720091111
transitionprobs	4	29	0.00645593586749187
transitionprobs	4	30	0.02192415671244905
transitionprobs	4	31	0.04345491832460731
transitionprobs	4	32	0.017422756080939152
transitionprobs	4	33	0.016592908709324374
transitionprobs	4	34	0.0
transitionprobs	4	35	0.02304343658198968
transitionprobs	4	36	0.006200815975610426
transitionprobs	4	37	0.002782987137217241
transitionprobs	4	38	6.868042147401964E-4
transitionprobs	4	39	0.0
transitionprobs	4	40	0.01315790368684341
transitionprobs	4	41	0.002019133199900722
transitionprobs	4	42	0.0
transitionprobs	4	43	0.0
transitionprobs	4	44	6.730440012092374E-4
transitionprobs	4	45	0.0
transitionprobs	4	46	6.745680620611786E-4
transitionprobs	4	47	0.004787817071576802
transitionprobs	4	48	0.002687038721066559
transitionprobs	4	49	0.002001874806950282
transitionprobs	4	50	8.321897549308215E-4
transitionprobs	5	1	0.012443170897119372
transitionprobs	5	2	0.015251634949387832
transitionprobs	5	3	0.04565785141993177
transitionprobs	5	4	0.08654380124798575
transitionprobs	5	5	0.07008754953655116
transitionprobs	5	6	0.08015768155680116
transitionprobs	5	7	0.04530050339839422
transitionprobs	5	8	0.0031208438855574905
transitionprobs	5	9	0.06556876674177205
transitionprobs	5	10	0.056556670523372383
transitionprobs	5	11	0.0
transitionprobs	5	12	0.015242745776000235
transitionprobs	5	13	0.0
transitionprobs	5	14	0.004111667395801231
transitionprobs	5	15	0.0014212140115646605
transitionprobs	5	16	0.0
transitionprobs	5	17	0.0
transitionprobs	5	18	0.0
transitionprobs	5	19	0.0
transitionprobs	5	20	0.001881585768893879
transitionprobs	5	21	0.0025787301935355283
transitionprobs	5	22	0.00557600688941781
transitionprobs	5	23	0.004564652283115433
transitionprobs	5	24	0.009652146104221453
transitionprobs	5	25	0.020778863106352182
transitionprobs	5	26	0.11616847055127368
transitionprobs	5	27	0.23948588015149888
transitionprobs	5	28	0.009141192587698818
transitionprobs	5	29	0.012622621404438109
transitionprobs	5	30	0.010507419435958312
transitionprobs	5	31	0.00569351591694066
transitionprobs	5	32	6.248128795073638E-4
transitionprobs	5	33	0.0
transitionprobs	5	34	0.01177081440170239
transitionprobs	5	35	0.004560108384462299
transitionprobs	5	36	0.003573098177167053
transitionprobs	5	37	0.004427734645275997
transitionprobs	5	38	0.0
transitionprobs	5	39	0.0
transitionprobs	5	40	0.024068366924941197
transitionprobs	5	41	0.0
transitionprobs	5	42	0.0
transitionprobs	5	43	0.0
transitionprobs	5	44	0.0
transitionprobs	5	45	0.001422699736390403
transitionprobs	5	46	7.811843394590249E-4
transitionprobs	5	47	0.005870155307794628
transitionprobs	5	48	7.129262243077534E-4
transitionprobs	5	49	0.0020729132454078234
transitionprobs	5	50	0.0
transitionprobs	6	1	0.011638030100476374
transitionprobs	6	2	0.006931568748671716
